Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291248	9831905	138	256	2021-05-06	11:54:08	nan	nan	nan	58.7029	20.6969	58.5861	43.5177	0	0	20.6359	-16000	0	15.4424	245
DATA	1620291249	9831905	142	256	2021-05-06	11:54:09	nan	nan	nan	58.7809	20.7294	58.6645	43.5177	0	0	20.6581	-16000	0	15.4357	243
DATA	1620291250	9831905	146	256	2021-05-06	11:54:10	nan	nan	nan	58.8617	20.7622	58.7429	43.5177	0	0	20.6802	-16000	0	15.4244	216
DATA	1620291251	9831905	150	256	2021-05-06	11:54:11	nan	nan	nan	58.9401	20.7946	58.8209	43.5177	0	0	20.7029	-16000	0	15.4087	218
DATA	1620291252	9831905	154	256	2021-05-06	11:54:12	nan	nan	nan	59.0172	20.8265	58.9013	43.5177	0	0	20.7258	-16000	0	15.4067	212
DATA	1620291253	9543895	158	256	2021-05-06	11:54:13	nan	nan	nan	59.0952	20.8584	58.9789	43.5177	0	0	20.7487	-16000	0	15.4346	  4
DATA	1620291254	9543895	162	256	2021-05-06	11:54:14	nan	nan	nan	59.1744	20.8905	59.0573	43.5177	0	0	20.7721	-16000	0	15.4393	230
DATA	1620291255	9543895	166	256	2021-05-06	11:54:15	nan	nan	nan	59.2536	20.9221	59.1352	43.5177	0	0	20.7951	-16000	0	15.4432	223
DATA	1620291256	9543895	170	256	2021-05-06	11:54:16	nan	nan	nan	59.3332	20.9543	59.2148	43.5177	0	0	20.8179	-16000	0	15.4432	229
DATA	1620291257	9543895	174	256	2021-05-06	11:54:17	nan	nan	nan	59.4051	20.9832	59.2887	43.5177	0	0	20.8394	-16000	0	15.4416	246
